company_name,industry
Entertainment One,Media Production
Entertainment Partners,Entertainment Providers
Enthusiast Gaming,Software Development
Enthusiast Gaming (TSX: EGLX),Software Development
Entigrity,Financial Services
Entigrity Offshore Staffing,Financial Services
Entourage Health (formerly WeedMD Inc.),Pharmaceutical Manufacturing
Entreflow Consulting Group,Pharmaceutical Manufacturing
Entrepreneur First,Venture Capital and Private Equity
ANR Realty Inc.,Real Estate
EntryCloud,Accounting & Advisory
Entuitive,Civil Engineering
Environics Analytics,Advertising Services
Environment and Climate Change Canada,Government Administration
Environmental 360 Solutions,Environmental Services
Environmental Defence,Environmental Services
Envoy Capital Group (formerly Envoy Communications Group Inc.),Investment Management
Enwave Energy Corporation,Utilities
EP Canada,Movies and Sound Recording
Epic Health Solutions,"Health, Wellness and Fitness"
Anthem Properties Group Ltd.,Real Estate
Epic Safety,Wellness and Fitness Services
Epic Story Interactive,Computer Games
EPIK (English Program in Korea),Computer Games
Epl plastics,Manufacturing
Eprom Computer Systems,Software Development
Epsilon,Software Development
Aoyuan International,Real Estate
Epyllion Group,Retail Apparel and Fashion
EQ Bank,Financial Services
EQUA Specialty Risk Partners Corporation,Insurance
Equals Brewing Company Inc.,Food and Beverage Manufacturing
Equicap Asia,Financial Services
Equifax,IT Services and IT Consulting
Equifax Canada Co.,Financial Services
Equilease,Financial Services
Equitable Bank,Financial Services
Equitable Bank,Technology and Information
Apartment,Real Estate
Arada,Real Estate
Equity Builders,Investment Management
ERAS TEACHERS,E-Learning
Erb and Erb Insurance Brokers,Insurance
Ericsson,IT Services and IT Consulting
Erie Meat Products Ltd,Food and Beverage Manufacturing
Erie Meat Products Ltd.,Food and Beverage Manufacturing
Erie Meats,Food and Beverage Manufacturing
ERIKS North America,Wholesale
Erin Mills Acura,Automotive
Erindale Fireplaces & Mantels,Furniture and Home Furnishings Manufacturing
ErinoakKids Centre for Treatment and Development,"Health, Wellness and Fitness"
ERIS - Environmental Risk Information Services,Environmental Services
Ernst & Young,Accounting & Advisory
Ernst & Young Global Consulting Services,Accounting & Advisory
Ernst & Young LLP,Accounting & Advisory
Ernst & Young Orenda Corporate Finance,Accounting & Advisory
ERP BUDDIES,Accounting & Advisory
Errington Marketing,Marketing
ESC Corporate Services,Information Services
Escalade Wines & Spirits,Food and Beverage Manufacturing
Escola conduÃ§Ã£o GuifÃµes,Accounting
eScribe,Software Development
eSentire,Business Consulting and Services
eSight,Medical Equipment Manufacturing
eSight Eyewear,Medical Equipment Manufacturing
Eska Inc.,Food and Beverage Services
Espera Consulting Inc,Accounting & Advisory
Espresso Capital,Investment Management
eSSENTIAL Accessibility,Software Development
Essity,Freight and Package Transportation
Esso,Retail
Esso Gas and Convenience Store,Retail
Estar Inc.,Consumer Goods
Estee Lauder Canada,Consumer Goods
Arcanos Property Management Corporation,Real Estate
ETG Commodities Inc.,Logistics and Supply Chain
ETG North America,Logistics and Supply Chain
Ether Capital,Internet Publishing
Ethos,Telecommunications
EthoSolar,Renewable Energy Semiconductor Manufacturing
Etobicoke Humane Society,Non-profit Organizations
EukaPay,Banking
Eurasian Foods Corporation JSC,Food and Beverage Services
Euro Pro Soccer Academy,Entertainment
Eurofase,Furniture and Home Furnishings Manufacturing
Eurofase Lighting,Furniture and Home Furnishings Manufacturing
Eurofins,Biotechnology Research
Eurolite,Design Services
European Central Bank,Banking
Arctrurus Realty Corp.,Real Estate
Eurotex,Textile Manufacturing
Eurovac Inc,Machinery Manufacturing
Evanov Communications,Telecommunications
Evanov Radio Group,Legal Services
EvansMartin LLP,Accounting & Advisory
Eva's,Legal Services
"Arcturus, Northam Realty, First Capital and Canada Lands",Real Estate
EventConnectâ„¢,Events Services
EventMobi,Events Services
EverCommerce,Software Development
Everest Clinical Research,Pharmaceutical Manufacturing
Everest College,Higher Education
Everest Insurance,Insurance
Everest InsuranceÃ‚Â®,Insurance
Everest Reinsurance Company,Insurance
Everest Transportation Inc,Logistics and Supply Chain
Evergreen Canada,Logistics and Supply Chain
Evergreen College,Higher Education
Everlink,IT Services and IT Consulting
Evermore Capital Inc.,Financial Services
Ares Management Corporation,Real Estate
Evertz,Broadcast Media Production and Distribution
Argham Negar Riya,Real Estate
Eviosys,Financial Services
Evoco Ltd.,Renewable Energy Semiconductor Manufacturing
Evolve Biologics,Research Services
Evolve ETFs,Financial Services
Ewing Morris & Co. Investment Partners Ltd.,Investment Management
Exact Media,Marketing
exactEarth Ltd,Aviation and Aerospace Component Manufacturing
"ExamOne, a Quest Diagnostics Company",Insurance
ExamWorks LLC,E-Learning
Exan Group,Software Development
Excel Medical Diagnostics,Accounting & Advisory
Excel4Business Ltd,Accounting & Advisory
ExcelerateHR Services,Human Resources Services
Excell Communications,Telecommunications
EXCELL Store fixtures - a group company of Leggett and Platt,Consumer Goods
"Excellon Resources Inc. (NYSE: EXN, TSX: EXN)",Mining
Exchange Bank of Canada,Financial Services
Exchange Bank of Canada/Currency Exchange International,Financial Services
Exchange Solutions,Financial Services
EXCITE Conference,Events Services
Exco Extrusion Tooling Solutions,Motor Vehicle Manufacturing
Exco Technologies Limited,Motor Vehicle Manufacturing
ExecHQâ„¢ - Bring Expertise to the Table,Business Consulting and Services
Executive Access India,Human Resources Services
Executive Leadership,Human Resources Services
"Executive Springboard, LLC",Human Resources Services
Executive Yacht,Human Resources Services
Exel BPO (Pvt) Ltd,Human Resources Services
Exhibition Place,Entertainment Providers
EXIT IT ONTARIO,Information Technology and Services
EXL,IT Services and IT Consulting
Exodus Festival Las Vegas,Entertainment
Exova Group Limited,Industrial Machinery Manufacturing
EXP,Civil Engineering
exp Global Inc.,Civil Engineering
Expat Immigration,Legal Services
Expeditors,"Transportation, Logistics and Storage"
Experior Financial Group,Financial Services
Expertax Financial Services Inc,Financial Services
Export Development Canada | Exportation et dÃ©veloppement Canada,Financial Services
Export Packers Company Limited,Logistics and Supply Chain
Export Trading Group,Logistics and Supply Chain
Express Employment Professionals Markham,Staffing and Recruiting
Express Employment Professionals Scarborough,Staffing and Recruiting
Express Scripts Canada,Insurance
Expro,Oil and Gas
Extend-A-Family Hamilton Region,Non-profit Organizations
Extendicare,Hospitality
Extendicare Inc.,Hospitality
Extra Gravy Show,Entertainment
Extreme Networks,Computer Networking Products
Extrudex Aluminum,Manufacturing
ExxonMobil,Oil and Gas
EY,Accounting & Advisory
EY Analytics (Asia-Pacific),Accounting & Advisory
EYD Chartered Professional Accountant,Accounting & Advisory
EYD CPA Professional Corporation,Accounting & Advisory
Eyelike + Saigon Optical,"Health, Wellness and Fitness"
EY-Parthenon,Accounting & Advisory
ez 4.0,Business Consulting and Services
Ezclear Inc,Import Export
Ezee Accountant inc,Accounting & Advisory
Argo Development Corporation,Real Estate
EZTAX.CA,Accounting & Advisory
Eztrans Logistics Ltd.,Logistics and Supply Chain
F S Tool Corporation,Retail Office Equipment
"F Silveira, Chartered Professional Accountants",Accounting & Advisory
F&P Mfg. Inc.,Financial Services
F. Group,Entertainment
F. Hoffmann-La Roche Ltd,Pharmaceutical Manufacturing
F.O.D Delivery,Accounting & Advisory
F1 Tech Inc.,Business Consulting and Services
F8th Inc.,Software Development
FAAB GROUP LTD,Retail Office Equipment
Faan Advisors Group Inc.,Accounting & Advisory
Faber Technologies,Software Development
fabriik,Financial Services
Facedrive,Automotive
Facilitate Settlement Corporation,Legal Services
Facility Association,Facilities Services
Facility Plus,Facilities Services
FactSet,Accounting & Advisory
factura.ai,Technology and Information
FAHM Technology Partners,IT Services and IT Consulting
Faiadan Water Distribution Company,Accounting & Advisory
Faire,Internet Publishing
Fairfax Africa Holdings Corp.,Investment Management
Fairfax Financial Holdings Limited,Investment Management
Fairfax India Holdings Corporation,Investment Management
Fairly AI,Financial Services
Fairmont Banff Springs,Hospitality
Fairmont Hotels & Resorts,Hospitality
Fairmont Royal York,Hospitality
Argo Property Management Ltd.,Real Estate
Argus Global Group,Real Estate
Fallen Heroes Tattoo,"Health, Wellness and Fitness"
Fam Powder Coating Ltd.,Motor Vehicle Manufacturing
Family & Children's Services of Guelph and Wellington County,"Health, Wellness and Fitness"
Family Daycare,Mental Hospitals and Health Care
Family Psychology Centre,Mental Hospitals and Health Care
Family Service Toronto,Mental Hospitals and Health Care
Family Wellness,"Health, Wellness and Fitness"
Famme & Co. Chartered Professional Accountants,Accounting & Advisory
Fangraphs,Accounting & Advisory
FANO Industries - Industrial trading,Mechanical or Industrial Engineering
Fanshawe College,Higher Education
Fantail Communications,Telecommunications
Fantuan Ã©Â¥Â­Ã¥â€ºÂ¢,Telecommunications
Far Vision Education Holding Inc.,Investment Management
Far West Accounting Inc.,Accounting & Advisory
Fara Owdj Sazeh,Accounting & Advisory
Farah Experiences LLC,Travel Arrangements
Farber Group,Business Consulting and Services
Fareed Sheik LLP,Accounting & Advisory
Farhat and Company,Accounting & Advisory
Farm Boy Inc.,Retail
FarmTogether,Financial Services
Farnham Accountants & Advisors,Accounting & Advisory
"Faro Hair Stylish, CF Markville",Retail
FARSALI,Personal Care Product Manufacturing
FarsiMed,"Health, Wellness and Fitness"
Fasken,Legal Services
Fasken Martineau,Legal Services
Fastenal Company,Manufacturing
Faster Mechanical Inc,Manufacturing
Fastfrate,Truck Transportation
Fast-Links Inc,Truck Transportation
FAX Capital,Investment Management
Faysal Bank Limited,Investment Management
Fazbreak,Musicians
Fazzari + Partners LLP,Accounting & Advisory
FCA Fiat Chrysler Automobiles,Automotive
FCB Canada,Advertising Services
FCC Servicios Ciudadanos,Civic and Social Organizations
FCi (Fleming Communications Inc.),Telecommunications
FCJ of the Americas,Accounting & Advisory
FCM Travel Canada,Travel Arrangements
FCM Travel USA,Travel Arrangements
FCP Inc.,Accounting & Advisory
FCR | Freelandt Caldwell Reilly LLP,Accounting & Advisory
FCT,Insurance
FD Consulting,Utilities
FDM Group,IT Services and IT Consulting
Fe Via Agency/ Filing Taxes,Accounting & Advisory
Feather Company Ltd,Manufacturing
Featherlike Footwear,Accounting & Advisory
Federal Airports Authority of Nigeria/Maevis AOMS Project,Government Administration
Federal Economic Development Agency for Southern Ontario | Agence fÃ©dÃ©rale de ...,Government Administration
Federal Goverment,Government Administration
Federal Government of Canada,Government Administration
Federated Co-operatives Limited,Wholesale
FedEx,Logistics and Supply Chain
FedEx Express,Logistics and Supply Chain
FedEx Express Canada,Logistics and Supply Chain
FedEx Freight Canada,Logistics and Supply Chain
FedEx Logistics,Logistics and Supply Chain
Feedonomics,Consumer Services
feeDuck,Information Technology and Services
"FEELEY, BONAVENTURA & HYZY, CPAS, PC",Information Technology and Services
FEI Young Luminaries,Entertainment
Feigenbaum Consulting,Legal Services
Feigenbaum Law,Legal Services
Feld Ventures,Venture Capital and Private Equity
Feldman Entertainment Partnerships,Entertainment
Feldstein & Associates LLP,Legal Services
Felix Health,Food and Beverage Services
Fellowes Brands,Manufacturing
Femme De Carriere,Consumer Goods
Arguson Projects Inc,Real Estate
Aria Park Co,Real Estate
ARISTA Homes,Real Estate
Armel Corporation,Real Estate
Fenwick Automotive Products Ltd.,Automotive
FEP Search Group,Staffing and Recruiting
Ferno EMS,Medical Equipment Manufacturing
Artis REIT,Real Estate
Ferrara,Food and Beverage Manufacturing
Ferrari & Associates Insurance and Financial Services,Insurance
Ferrero,Food and Beverage Manufacturing
Ferring Pharmaceutical Manufacturing,Pharmaceutical Manufacturing
Associa,Real Estate
Fertility Health Tech,"Health, Wellness and Fitness"
Fervency,Consumer Goods
Festivals Kelowna,Entertainment
Festo Canada,Automation Machinery Manufacturing
Fetch and Releash,Non-profit Organizations
Fevia Agency/Filing Taxes,Accounting & Advisory
FFC Professional Corporation,Accounting & Advisory
FFH Group of Companies,Financial Services
FFII,Accounting
FGF Brands,Food and Beverage Manufacturing
FH Health,Hospitals and Health Care
FH internatioanl,Hospitals and Health Care
ATHREE Building Corp.,Real Estate
FiberHome,Telecommunications
Fidelity Canada,Financial Services
Fidelity International,Financial Services
Fidelity Investments,Financial Services
Field & Company LLP,Accounting & Advisory
Field Aviation,Aviation and Aerospace Component Manufacturing
Field Hockey Ontario,Entertainment
Field Trip Health,Wellness and Fitness Services
Atria Development Corporation,Real Estate
Auburn Developments,Real Estate
Auburn Developments Inc.,Real Estate
Automotive Properties REIT,Real Estate
Avana Capital Corporation,Real Estate
Avesdo,Real Estate
Fiera Capital,Investment Management
Fiera Capital Corporation,Investment Management
Fiera Foods,Food and Beverage Manufacturing
A-Z Real Estate Investment Inc,Real Estate
Barney River,Real Estate
Bayfield Realty Advisors Inc,Real Estate
Bayshore HealthCare,Real Estate
Fifty Ads Management,Advertising Services
Figment,Computer and Network Security
FIGO,Food and Beverage Services
FIGR INC.,Manufacturing
Fiix Software,IT Services and IT Consulting
FIJ Law LLP,Legal Services
FIKA Herbal Goods,Retail
FileBank,Legal Services
Filing Taxes,Accounting & Advisory
Bayshore Home Care,Real Estate
fin/ally - Financial Management for Creative Service Firms,Financial Services
Fina Systems,Information Technology and Services
Finance Association of Laurentian University,Higher Education
Finance Professional,Accounting & Advisory
Finance Professionals Inc.,Accounting & Advisory
Finance Without Borders Inc,Staffing and Recruiting
Financeit,Accounting & Advisory
Bayshore Property Management Inc.,Real Estate
Financial Debt Recovery Limited (FDR),Financial Services
Financial Horizons Group,Financial Services
Financial Industry,Financial Services
Financial Services,Financial Services
Financial Services Commission of Ontario (FSCO),Government Administration
Financial Services Regulatory Authority (FSRA),Government Administration
FinancialCopywriters.com,Accounting
FinancialForce,Financial Services
Finastra,Financial Services
Finax Services,Financial Services
Finax Solutions,Accounting & Advisory
Fine Organic Industries Limited,Food and Beverage Manufacturing
Fines Ford Lincoln Sales & Service Ltd.,Motor Vehicle Manufacturing
Fineway Properties Ltd.,Accounting & Advisory
Bayshore Specialty Rx,Real Estate
Finneo,Financial Services
Finning (Canada),Manufacturing
Fintax Business Services,Accounting & Advisory
Fintax Solutions,Accounting & Advisory
Fintech Fund Services Inc,Accounting & Advisory
Fintelics,Software Development
Fiona Chen Professional Corporation,Accounting & Advisory
FIORANO SOFTWARE TECHNOLOGIES PRIVATE LIMITED,Information Technology and Services
Firan Technology Group Corporation (FTG),Aviation and Aerospace Component Manufacturing
Fire & Flower,Retail
Firefly Books,Consumer Goods
FirePower Capital,Financial Services
Bayshore Specialty RX  Toronto ON,Real Estate
Berkshire Axis Development,Real Estate
Berkshire Axis Inc,Real Estate
BERLINHAUS Verwaltung GmbH,Real Estate
First 30,Human Resources Services
First Ascent Ventures,Venture Capital and Private Equity
BERMAN ASSOCIATES LIMITED,Real Estate
BGIS,Real Estate
BGIS Global Integrated Solutions Realty,Real Estate
Bilaad Realty,Real Estate
Bilkish Associates LLC,Real Estate
Bitton Group,Real Estate
First City Monument Bank Limited,Banking
First class specialty finance,Accounting & Advisory
First Data,Accounting & Advisory
First Derivative,Capital Markets
First General Services,Facilities Services
First General Services Canada,Facilities Services
First Global Data,Financial Services
Blackwood Partners,Real Estate
FIRST Insurance Funding of Canada,Financial Services
First National Financial LP,Financial Services
Blackwood Partners Corporation,Real Estate
Block Developments,Real Estate
Blue Sky Economic Growth Corporation,Real Estate
First Ontario Credit Union,Financial Services
First Quantum Minerals,Mining
Boardwalk,Real Estate
Bosa Properties,Real Estate
"Bosley Real Estate Ltd, Brokerage",Real Estate
First Swiss Mortgage Corp,Financial Services
First West Credit Union,Financial Services
Firstlight Media,Advertising Services
Boutique Real Estate Corporation,Real Estate
FirstOntario Credit Union,Financial Services
FirstRock Capital,Financial Services
Brad J. Lamb Realty Inc.,Real Estate
Branthaven Homes,Real Estate
Briarlane Rental Property Management Inc.,Real Estate
FIS,IT Services and IT Consulting
"FISCAL FINANCIAL, INC.",Accounting & Advisory
Bridgecon Construction Ltd,Real Estate
Fisher Distributing,Accounting
Bridgemarq Real Estate Services,Real Estate
Brixen Developments Inc.,Real Estate
fishRecruit Inc.,Staffing and Recruiting
Fit It Out,"Health, Wellness and Fitness"
Fit4Less,"Health, Wellness and Fitness"
Fitch Ratings,Financial Services
fitzbackservices,Financial Services
Broadstreet Properties,Real Estate
Brookfield Annuity,Real Estate
Five Continents International Ltd.,Retail
Fiverr,Banking
FjÃ¤llrÃ¤ven,Motor Vehicle Manufacturing
Flabbi & Associates LLP,Legal Services
Flak Law,Legal Services
Flanagan Foodservice Inc.,Food and Beverage Services
Flashfood,Software Development
Brookfield Asset Management,Real Estate
Flax Spitzen LLP,Accounting & Advisory
Fleet Complete,IT Services and IT Consulting
Fleet Freedom (Trak iT Wireless Inc),IT Services and IT Consulting
FLEETCOR,Financial Services
Fleming College,Education Administration Programs
Fletcher Group Automation Inc.,Automation Machinery Manufacturing
Flexiti,Financial Services
Flexiti Financial,Financial Services
Flexmaster Canada,Industrial Machinery Manufacturing
Flight Centre Travel Group,Travel Arrangements
FlightNetwork.com,Travel Arrangements
FlipEx,Logistics and Supply Chain
Flipp,Retail
FloChem Ltd.,Chemical Manufacturing
flooidCX,Marketing
Brookfield Financial,Real Estate
Flosonics Medical,Medical Equipment Manufacturing
Flott,"Transportation, Logistics and Storage"
Flourish Pancakes,Food and Beverage Services
Flow Alkaline Spring Water,Food and Beverage Services
Flow CPA,Accounting & Advisory
Flowcast,Software Development
FLOWERBUYER LLC,Wholesale
FLS Transportation Services,"Transportation, Logistics and Storage"
"Fluent, Inc",E-Learning
Fluid Hose & Coupling,Automation Machinery Manufacturing
Fluid Hose & Coupling Inc.,Automation Machinery Manufacturing
Fluidconcepts,Furniture and Home Furnishings Manufacturing
Flutter Entertainment Plc,Entertainment Providers
Flybits,IT Services and IT Consulting
FlyHoch Apparels Sourcing India,Retail Apparel and Fashion
Brookfield Global Integrated Solutions,Real Estate
FLYSHOT,Software Development
FM Global,Insurance
FMAV,Events Services
FNF Canada,Insurance
Foamco Industries Corporation,Manufacturing
Focus Cleaning,Facilities Services
FOG Software Group,Software Development
"Fogler, Rubinoff LLP",Legal Services
Brookfield Johnson Controls,Real Estate
Food Company,Food and Beverage Manufacturing
Food for the Hungry Canada,Non-profit Organizations
Foodee,Food and Beverage Services
FoodHwy,Food and Beverage Services
FOODIGO,Food and Beverage Services
Footbridge Centre for Integrated Orthopaedic Care,"Health, Wellness and Fitness"
Foran Mining,Mining
Forbes & Manhattan Group,Accounting & Advisory
Forbes Accounting & Business Consultants,Accounting & Advisory
Forbes Andersen Information Services Inc.,Accounting & Advisory
Forbes Andersen LLP,Accounting & Advisory
Forbes Waterloo Mazda,Automotive
Ford Credit,Financial Services
Ford Keast LLP,Accounting & Advisory
Ford Motor Company,Motor Vehicle Manufacturing
Forensic Restitution,Accounting & Advisory
Forest Cafe,Restaurants
Brookfield Renewable,Real Estate
Foresters,Financial Services
Foresters Financial,Financial Services
Foresters Financial Services,Financial Services
Forever 21,Retail Apparel and Fashion
Forge & Foster Investment Management,Financial Services
Forge Recruitment,Staffing and Recruiting
Byron Equities Inc,Real Estate
Forj,IT Services and IT Consulting
FORM,Wellness and Fitness Services
Cachet Homes,Real Estate
Formost mediaOne,Printing Services
CACOELI,Real Estate
Formusa Zuccaro,Accounting & Advisory
Fort Group Chartered Professional Accountants Inc.,Accounting & Advisory
Cadillac Fairview,Real Estate
Forthlane Partners,Financial Services
Fortify Enterprise Inc.,Information Technology and Services
Fortigo Freight Services Inc,Logistics
Fortinet,IT Services and IT Consulting
Fortinos,Retail
Fortinos Supermarket Ltd,Retail
FortisBC,IT Services and IT Consulting
Fortude,IT Services and IT Consulting
Forum Equity Partners,Investment Management
Forum Ventures,Venture Capital and Private Equity
Foson & Beyond Kitchens Inc,Furniture and Home Furnishings Manufacturing
Fossil,Hospitals and Health Care
"Fossil Group, Inc.",Retail Apparel and Fashion
Founder Institute,Information Technology and Services
Founderpath,Financial Services
Four Points by Sheraton,Hospitality
Four Seasons Hotels and Resorts,Hospitality
Fourpoints Sheraton,Hospitality
Fourth Dimension Inc.,Marketing
Fourview Trucking Ltd,Logistics
Fox Run Brands,Food and Beverage Manufacturing
FOX WAY TRANSPORTATION INC,Freight and Package Transportation
Foxconn,"Appliances, Electrical, and Electronics Manufacturing"
Foxville Art,Consumer Goods
Caivan Communities,Real Estate
Foxwood Tax Search,Staffing and Recruiting
Calibrex Developments,Real Estate
"Foyston, Gordon & Payne Inc.",Investment Management
FP Canada,Accounting & Advisory
FP+A Solutions,Accounting & Advisory
Fragomen,Legal Services
Campus Living Centres,Real Estate
Framatome,Oil and Gas
Framework Venture Partners,Venture Capital and Private Equity
Franchise Global Health,Wellness and Fitness Services
Francis Kim & Company CPA PC,Accounting & Advisory
"Francis Kim & Company, CPA, P.C",Accounting & Advisory
Franco-Nevada Corporation,Mining
Frank Brodie,Information Technology and Services
Frank Spadafina Professional Corporation,Accounting & Advisory
Frankel & Company,Financial Services
Frankenne Holdings,Accounting & Advisory
Franklin Templeton,Financial Services
Franklin Templeton Investments,Financial Services
FranOvation,Staffing and Recruiting
Frans Restaurant,Restaurants
Fraser Direct,Logistics
Fraser Ford Sales,Automotive
Fraser Valley Real Estate Board,Higher Education
Camrost Felcorp Inc.,Real Estate
"Fred Albi, CPA, Professional Corporation",Accounting & Advisory
Fred Bouwman CPA Professional Corporation,Accounting & Advisory
Fred T. Reisman and Associates Ltd.,Accounting & Advisory
Fred Victor Centre,Non-profit Organizations
Free Spirit Ranch,Farming
Camrost-Felcorp Inc.,Real Estate
CAMS Software Corp.,Real Estate
Canadian Real Estate Investment Trust,Real Estate
CanFirst Capital,Real Estate
Freedom 55 Financial,Financial Services
"Freedom College of Business, Healthcare and Technology Inc.",Higher Education
Freedom Mobile,Telecommunications
Freehouse Collective (formerly Donnelly Group),Restaurants
Freelance,Accounting & Advisory
Freelance / Contract / Self-Employed,Accounting & Advisory
Freelance Accounting/Bookkeeper,Accounting & Advisory
"Freelance, self-employed",Accounting & Advisory
Freelancer,Accounting & Advisory
Freelancing-,Accounting & Advisory
Freelandt Caldwell Reilly LLP,Accounting & Advisory
Freeport Ship Services,Logistics and Supply Chain
FreeStylus,Public Safety
Freight in Motion Brokerage LTD,"Transportation, Logistics and Storage"
Freightcom,"Transportation, Logistics and Storage"
Frequency Foundry,Software Development
Fresenius Kabi,"Health, Wellness and Fitness"
Fresenius Kabi Canada,"Health, Wellness and Fitness"
Fresenius Medical Care Asia-Pacific,"Health, Wellness and Fitness"
Fresenius Medical Care Canada,"Health, Wellness and Fitness"
Fresh Buger,Restaurants
Fresh City,Restaurants
Fresh Start Foods Canada Ltd.,Food and Beverage Manufacturing
Fresh Taste Produce Limited,Retail
FreshBooks,Software Development
"FRESHCO, LTD.",Retail
Freshii,Restaurants
Freshly Squeezed Franchise,Restaurants
Freshouse Foods Ltd.,Restaurants
Freshstone Brands Inc.,Food and Beverage Manufacturing
Frew Energy Limited,Oil and Gas
Friends of Ruby,Civic and Social Organizations
Canlight Group,Real Estate
Front Row Insurance Brokers Inc.,Insurance
Front Street Pictures,Entertainment
Frontera Energy Corp.,Oil and Gas
Frontier CFO Services Inc.,Food and Beverage Manufacturing
Frontier Networks,Venture Capital and Private Equity
Frontiers in Communications and Networks,Accounting & Advisory
Frontline Broadband,Telecommunications
Frost Chevrolet Buick GMC Cadillac,Automotive
Fruitman Kates LLP,Accounting & Advisory
Fruitrade International,Food and Beverage Manufacturing
FSB GROUP LTD.,Food and Beverage Manufacturing
FSB Insurance Ltd,Insurance
FTI Consulting,Business Consulting and Services
FTSP Professional Corporation,Insurance
Fugro,Renewable Energy Semiconductor Manufacturing
Fugro Roadware,Renewable Energy Semiconductor Manufacturing
Capital Canada Limited,Real Estate
Fullcycle BI,Freight and Package Transportation
Fuller Landau LLP,Accounting & Advisory
FunctionAbility,Hospitals and Health Care
Functional Wellness Network,Wellness and Fitness Services
Fundserv Inc.,Financial Services
Furtney Crysler LLP - Chartered Professional Accountants,Accounting & Advisory
Fury Gold Mines,Mining
Fusion Career Services,Staffing and Recruiting
Fusion Homes,Accounting & Advisory
Fusion Psychological Services,Mental Hospitals and Health Care
Fusion92,Advertising Services
Futuracy,Motor Vehicle Manufacturing
Future Balance CPAs,Accounting & Advisory
Capital Developments,Real Estate
FutureData,Information Technology and Services
FutureFit AI,Software Development
Futures First,Software Development
Futurpreneur,Non-profit Organizations
Futurpreneur Canada,Software Development
Fuze HR Solutions,Staffing and Recruiting
FWH Chartered Accountants,Accounting & Advisory
FWS Accounting and Tax Services,Accounting & Advisory
FYidoctors,Hospitals and Health Care
FZLLP,Accounting & Advisory
G Adventures,Travel Arrangements
G&C Logistics,Logistics and Supply Chain
G&G Partnership Llp,Accounting & Advisory
"G&G Partnership, LLP",Accounting & Advisory
G&K Services,Food and Beverage Services
G&M Resell,Accounting & Advisory
G&W Electric Co.,"Appliances, Electrical, and Electronics Manufacturing"
G. Brandt Meat Packers Ltd.,Food and Beverage Services
G.A Business Services Inc,Accounting & Advisory
G.C. Duke Equipment Ltd.,Business Supplies and Equipment
g.co/IamRemarkable,Entertainment
G.E. PUJARI CHARTERED ACCOUNTANT,Accounting
Capital Developments (Canada),Real Estate
CAPREIT,Real Estate
G2,Information Technology and Services
G4S,Security and Investigations
GA International Inc.,Retail
Gadra Enterprises Inc.,Security and Investigations
Gage Cannabis,Cannabis
GALE,Advertising Services
GALE Partners,Advertising Services
Galileo Global Equity Advisors Inc.,Investment Management
Gallagher,Insurance
Gallagher & Mannisto Chartered Accountants,Accounting & Advisory
Gallant Corporate Services,Accounting & Advisory
Gallimore Products Inc.,Consumer Goods
Galvion,Consumer Goods
GameStop,Retail
Gamesys,Gambling Facilities and Casinos
Capstack Advisory Services,Real Estate
Gantrex,Industrial Machinery Manufacturing
Gantrex Canada,Mechanical or Industrial Engineering
Ganz,Consumer Goods
"Ganz USA, LLC",Wholesale
Gao Tek,Information Technology and Services
Gap,Logistics
Gap Inc.,Retail
Gap Wireless Inc.,Retail
Garage Clothing,Retail
Garber Urback CPA's,Accounting & Advisory
Garbo Group Inc,Retail Apparel and Fashion
GardaWorld,Security and Investigations
Gardena Canada Ltd.,Consumer Goods
Gardgil Vohra Ventures Private Limited,Accounting & Advisory
Gardiner Roberts LLP,Legal Services
Gardner Zuk Dessen C.A.'s,Accounting & Advisory
Gard-X Automotive Refinish Supplies,Retail Apparel and Fashion
Garland Commercial Ranges,Automotive
Garrett - Advancing Motion,Motor Vehicle Manufacturing
Garrington Capital,Financial Services
Gartner,Information Services
Gary A. Freedman + Associates Chartered Accountant,Accounting & Advisory
Gary Booth Chartered Accountants,Accounting & Advisory
Gary Goddard Agency,Marketing
GASCORP Pty Ltd,Marketing
Gasko Heating and Cooling Inc.,Manufacturing
Gasomic Industrial Co. / Canada,Accounting & Advisory
Gate Gourmet,Food and Beverage Services
Gatekeeper Systems Inc,Financial Services
Gates Corporation,Automation Machinery Manufacturing
Gatestone & Co.,IT Services and IT Consulting
Gateway Newstands,Retail
Gateway Newstands Inc.,Retail
Gateway Services Inc.,Veterinary Services
Gatto CPA Professional Corporation,Accounting & Advisory
Gaulco Ltd.,Accounting & Advisory
Gay Lea Foods,Food and Beverage Manufacturing
GCAT Group Inc,Architecture and Planning
GCI Advisors,Architecture and Planning
GCI Capital,Venture Capital and Private Equity
GCM Grosvenor,Investment Management
GCSE LLP Chartered Professional Accountants,Accounting & Advisory
GDI Integrated Facility Services,Facilities Services
GE,Industrial Machinery Manufacturing
GE Aviation,Aviation and Aerospace Component Manufacturing
GE Canada,Consumer Goods
GE Capital,Industrial Machinery Manufacturing
Carlton Group Ltd.,Real Estate
GE Healthcare,Hospitals and Health Care
GE Healthcare Canada,Hospitals and Health Care
GE Lighting,Computers and Electronics Manufacturing
GE Oil & Gas,Oil & Energy
GE Power & Water,Utilities
GE Renewable Energy,Renewable Energy Semiconductor Manufacturing
GEAR - Gemini Equipment And Rentals Pvt. Ltd.,"Transportation, Logistics and Storage"
